method_id,method_label,representation,model,split,seed,train_size,actual_train_size,n_val,n_test,mae,rmse,r2,source_table,status
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,44,1000,1000,1523,3047,0.1758304213572101,0.2527161446778883,0.681816405577738,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,55,1000,1000,1523,3047,0.171997128049926,0.2510548815803684,0.6905860068919665,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,11,1000,1000,1523,3047,0.1801516562700271,0.2708817111725577,0.6453972458839417,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,22,1000,1000,1523,3047,0.1748804450035095,0.2430689828811977,0.7021344900131226,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,33,1000,1000,1523,3047,0.174088567495346,0.2441721552515646,0.7092039585113525,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,44,1000,1000,1523,3047,0.1764504462480545,0.2479254432869091,0.6937655806541443,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,55,1000,1000,1523,3047,0.1708287745714187,0.2462966627359519,0.7022034525871277,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,11,1000,1000,1523,3047,0.1947246193885803,0.2810482520134776,0.6182803511619568,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,22,1000,1000,1523,3047,0.1897789984941482,0.2633000471836211,0.6504871845245361,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,33,1000,1000,1523,3047,0.1887180656194687,0.2637809527797355,0.6606224775314331,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,44,1000,1000,1523,3047,0.1893948316574096,0.2685781850071853,0.6406205296516418,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,55,1000,1000,1523,3047,0.1907581984996795,0.2690812929969413,0.6445572376251221,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,11,1000,1000,1523,3047,0.1427785754203796,0.2090293711057313,0.7888469386233907,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\02_gine_seed5\results\gine_seed5_full_raw_results.csv,ok
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,22,1000,1000,1523,3047,0.1290927678346634,0.1879257692710779,0.8219533327428915,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\02_gine_seed5\results\gine_seed5_full_raw_results.csv,ok
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,33,1000,1000,1523,3047,0.1404964625835418,0.1957320094921448,0.8131384647506052,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\02_gine_seed5\results\gine_seed5_full_raw_results.csv,ok
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,44,1000,1000,1523,3047,0.1288498640060424,0.1893683666697877,0.8213402756425283,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\02_gine_seed5\results\gine_seed5_full_raw_results.csv,ok
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,55,1000,1000,1523,3047,0.1312108486890792,0.2012634346754464,0.8011468866496808,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\02_gine_seed5\results\gine_seed5_full_raw_results.csv,ok
